#Gene_name	pLi	pRec	pNull	Gene_full_name	Function_description	Disease_description	Tissue_specificity(Uniprot)	Expression(egenetics)	Expression(GNF/Atlas)	P(HI)	P(rec)	RVIS	RVIS_percentile	GDI	GDI-Phred
A1BG	9.0649236354772e-05	0.786086131023045	0.2138232197406	alpha-1-B glycoprotein	.	.	TISSUE SPECIFICITY: Plasma.; 	unclassifiable (Anatomical System);amygdala;prostate;lung;islets of Langerhans;liver;spleen;germinal center;brain;thymus;	fetal liver;liver;fetal lung;trigeminal ganglion;	0.07384	0.31615	-0.466531444	23.51380042	79.3774	1.88274
A1BG-AS1	.	.	.	A1BG antisense RNA 1	.	.	.	.	.	.	.	.	.	.	.
A1CF	0.00361970078438154	0.995993655163751	0.000386644051867698	APOBEC1 complementation factor	FUNCTION: Essential component of the apolipoprotein B mRNA editing enzyme complex which is responsible for the postranscriptional editing of a CAA codon for Gln to a UAA codon for stop in APOB mRNA. Binds to APOB mRNA and is probably responsible for docking the catalytic subunit, APOBEC1, to the mRNA to allow it to deaminate its target cytosine. The complex also protects the edited APOB mRNA from nonsense-mediated decay. {ECO:0000269|PubMed:10669759, ECO:0000269|PubMed:10781591, ECO:0000269|PubMed:12881431}.; 	.	TISSUE SPECIFICITY: Widely expressed with highest levels in brain, liver, pancreas, colon and spleen. {ECO:0000269|PubMed:10669759}.; 	unclassifiable (Anatomical System);islets of Langerhans;liver;colon;spleen;kidney;stomach;	fetal liver;superior cervical ganglion;liver;ciliary ganglion;atrioventricular node;pons;trigeminal ganglion;skeletal muscle;	0.18871	0.35999	-0.378346116	28.01368247	314.85493	3.77246
A2M	0.000540114865271392	0.999459801979781	8.3154947445575e-08	alpha-2-macroglobulin	FUNCTION: Is able to inhibit all four classes of proteinases by a unique 'trapping' mechanism. This protein has a peptide stretch, called the 'bait region' which contains specific cleavage sites for different proteinases. When a proteinase cleaves the bait region, a conformational change is induced in the protein which traps the proteinase. The entrapped enzyme remains active against low molecular weight substrates (activity against high molecular weight substrates is greatly reduced). Following cleavage in the bait region a thioester bond is hydrolyzed and mediates the covalent binding of the protein to the proteinase.; 	.	TISSUE SPECIFICITY: Secreted in plasma. {ECO:0000269|PubMed:6203908}.; 	myocardium;smooth muscle;ovary;skin;retina;prostate;frontal lobe;endometrium;thyroid;brain;gall bladder;tonsil;heart;tongue;adrenal cortex;skeletal muscle;breast;epididymis;trabecular meshwork;visual apparatus;macula lutea;liver;spleen;mammary gland;colon;parathyroid;choroid;fovea centralis;uterus;whole body;cerebral cortex;larynx;testis;dura mater;spinal ganglion;pineal gland;unclassifiable (Anatomical System);meninges;lacrimal gland;islets of Langerhans;hypothalamus;pancreas;lung;pia mater;adrenal gland;placenta;hippocampus;head and neck;kidney;stomach;	.	0.27005	0.79618	0.099178678	60.75725407	1920.76046	8.06882
A2M-AS1	.	.	.	A2M antisense RNA 1 (head to head)	.	.	.	.	.	.	.	.	.	.	.
A2ML1	1.32902210264609e-22	0.201298944611439	0.798701055388561	alpha-2-macroglobulin like 1	FUNCTION: Is able to inhibit all four classes of proteinases by a unique 'trapping' mechanism. This protein has a peptide stretch, called the 'bait region' which contains specific cleavage sites for different proteinases. When a proteinase cleaves the bait region, a conformational change is induced in the protein which traps the proteinase. The entrapped enzyme remains active against low molecular weight substrates (activity against high molecular weight substrates is greatly reduced). Following cleavage in the bait region a thioester bond is hydrolyzed and mediates the covalent binding of the protein to the proteinase (By similarity). Displays inhibitory activity against chymotrypsin, papain, thermolysin, subtilisin A and, to a lesser extent, elastase but not trypsin. May play an important role during desquamation by inhibiting extracellular proteases. {ECO:0000250|UniProtKB:P01023, ECO:0000269|PubMed:16298998}.; 	.	TISSUE SPECIFICITY: In the epidermis, expressed predominantly in the granular layer at the apical edge of keratinocytes (at protein level). Also detected in placenta, testis and thymus but not in epithelia of kidney, lung, small intestine or colon. {ECO:0000269|PubMed:16298998}.; 	unclassifiable (Anatomical System);breast;frontal lobe;larynx;hypopharynx;colon;head and neck;skin;skeletal muscle;	dorsal root ganglion;superior cervical ganglion;tongue;globus pallidus;ciliary ganglion;pons;atrioventricular node;trigeminal ganglion;	0.06001	0.08330	2.41990149	98.52559566	7253.67873	18.31932
A2ML1-AS1	.	.	.	A2ML1 antisense RNA 1	.	.	.	.	.	.	.	.	.	.	.
A2ML1-AS2	.	.	.	A2ML1 antisense RNA 2	.	.	.	.	.	.	.	.	.	.	.
A2MP1	.	.	.	alpha-2-macroglobulin pseudogene 1	.	.	.	.	.	.	.	.	.	.	.
A3GALT2	6.50302639229507e-07	0.145666833765185	0.854332515932176	alpha 1,3-galactosyltransferase 2	.	.	.	.	.	0.10629	0.09600	.	.	272.82681	3.54057
A4GALT	0.111598718084493	0.777534623470403	0.110866658445104	alpha 1,4-galactosyltransferase	FUNCTION: Necessary for the biosynthesis of the Pk antigen of blood histogroup P. Catalyzes the transfer of galactose to lactosylceramide and galactosylceramide. Necessary for the synthesis of the receptor for bacterial verotoxins.; 	.	TISSUE SPECIFICITY: Ubiquitous. Highly expressed in kidney, heart, spleen, liver, testis and placenta.; 	unclassifiable (Anatomical System);lymphoreticular;cartilage;heart;islets of Langerhans;muscle;skin;uterus;pancreas;prostate;whole body;lung;bone;placenta;iris;liver;spleen;germinal center;brain;mammary gland;bladder;	ciliary ganglion;atrioventricular node;	0.10228	0.22182	-0.290161348	33.33923095	67.38232	1.69929
A4GNT	0.598408702159303	0.392305268458394	0.00928602938230314	alpha-1,4-N-acetylglucosaminyltransferase	FUNCTION: Necessary for the synthesis of type III mucin. Catalyzes the transfer of N-acetylglucosamine (GlcNAc) to core 2 branched O- glycans.; 	.	TISSUE SPECIFICITY: Detected in stomach and pancreas.; 	kidney;stomach;	dorsal root ganglion;subthalamic nucleus;superior cervical ganglion;globus pallidus;ciliary ganglion;atrioventricular node;trigeminal ganglion;parietal lobe;skeletal muscle;cingulate cortex;skin;	0.08072	0.08845	1.107875794	92.03821656	233.66	3.30331
AAAS	4.54287182926272e-10	0.792914348866523	0.20708565067919	aladin WD repeat nucleoporin	FUNCTION: Plays a role in the normal development of the peripheral and central nervous system.; 	.	TISSUE SPECIFICITY: Widely expressed. Particularly abundant expression is found in cerebellum, corpus callosum, adrenal gland, pituitary gland, gastrointestinal structures and fetal lung. {ECO:0000269|PubMed:16022285}.; 	lymphoreticular;medulla oblongata;ovary;colon;choroid;skin;retina;bone marrow;uterus;prostate;whole body;endometrium;bone;iris;testis;germinal center;spinal ganglion;brain;bladder;unclassifiable (Anatomical System);trophoblast;cartilage;heart;islets of Langerhans;hypothalamus;blood;skeletal muscle;breast;pancreas;lung;epididymis;nasopharynx;placenta;visual apparatus;hippocampus;amnion;liver;spleen;cervix;kidney;mammary gland;stomach;cerebellum;thymus;	.	0.60947	.	-0.911109353	9.961075725	101.66522	2.18230
AACS	4.2456926056096e-12	0.17179010103688	0.828209898958874	acetoacetyl-CoA synthetase	FUNCTION: Activates acetoacetate to acetoacetyl-CoA. May be involved in utilizing ketone body for the fatty acid-synthesis during adipose tissue development (By similarity). {ECO:0000250}.; 	.	TISSUE SPECIFICITY: Highly expressed in kidney, heart and brain, but low in liver. {ECO:0000269|PubMed:12623130}.; 	lymphoreticular;ovary;salivary gland;intestine;colon;parathyroid;skin;bone marrow;uterus;prostate;optic nerve;frontal lobe;thyroid;pituitary gland;testis;brain;unclassifiable (Anatomical System);cartilage;lacrimal gland;islets of Langerhans;hypothalamus;muscle;pharynx;blood;skeletal muscle;bile duct;lung;cornea;epididymis;nasopharynx;placenta;visual apparatus;alveolus;liver;spleen;cervix;kidney;mammary gland;stomach;	amygdala;whole brain;adipose tissue;temporal lobe;prefrontal cortex;testis;cingulate cortex;parietal lobe;	0.18243	0.23898	-1.170241634	6.039160179	163.63033	2.79374
AACSP1	.	.	.	acetoacetyl-CoA synthetase pseudogene 1	.	.	.	.	.	.	.	.	.	.	.
